674	槐荫	98	1600
675	市中	120	2800
676	高新	30	1100
677	高新	20	888
678	高新	95	3000
679	历城	81	2000
680	历下	141	5000
681	历下	175	5000
682	槐荫	141	3000
683	槐荫	22	600
684	天桥	65	1500
685	天桥	60	1300
686	槐荫	47	1500
687	历城	100	260
688	槐荫	20	480
689	天桥	20	180
690	槐荫	92	2000
691	槐荫	91	2500
692	槐荫	139	4500
693	天桥	20	180
694	历城	20	950
695	高新	63	2800
696	槐荫	22	600
697	天桥	65	1500
698	天桥	60	1300
699	槐荫	47	1500
700	历城	100	260
701	槐荫	55	2500
702	历城	30	1150
703	历城	30	1299
704	历城	60	1100
705	历城	25	720
706	历城	30	550
707	历下	70	2400
708	历下	70	2500
709	历下	50	1700
710	高新	20	800
711	高新	15	600
712	历下	130	3200
713	历城	97	1800
714	槐荫	94	3000
715	市中	45	1200
716	天桥	44	1500
717	天桥	90	2300
718	高新	40	999
719	历下	51	1400
720	槐荫	90	2400
721	市中	60	1200
722	天桥	125	2200
723	历下	50	1700
724	历下	50	1800
725	高新	30	1299
726	高新	40	1399
727	历下	130	4500
728	历城	140	5300
729	槐荫	46	2600
730	市中	30	650
731	天桥	23	1200
732	历下	20	800
733	高新	20	850
734	历下	20	1500
735	天桥	61	2300
736	市中	20	650
737	天桥	90	2000
738	天桥	40	1400
739	市中	94	2800
740	高新	25	1050
741	槐荫	45	1900
742	章丘	77	1100
743	槐荫	110	2500
744	天桥	30	850
745	高新	15	850
746	高新	63	2800
747	天桥	40	1100
748	天桥	59	1700
749	历下	70	1800
750	槐荫	90	1500
751	历下	50	1800
752	历城	35	1000
753	历下	25	850
754	历城	140	5300
755	槐荫	46	2600
756	市中	30	650
757	天桥	23	1200
758	历下	20	800
759	历下	20	1500
760	高新	30	750
761	高新	20	1050
762	天桥	61	2300
763	市中	20	650
764	天桥	90	2000
765	天桥	40	1400
766	市中	94	2800
767	槐荫	45	1900
768	高新	30	900
769	章丘	77	1100
770	槐荫	110	2500
771	天桥	30	850
772	市中	30	800
773	历下	18	900
774	高新	40	1200
775	高新	40	800
776	高新	30	800
777	历城	166	3300
778	天桥	44	1600
779	历下	70	2800
780	天桥	36	1300
781	槐荫	98	2000
782	槐荫	90	1700
783	高新	20	800
784	天桥	60	1700
785	天桥	76	1600
786	天桥	15	400
787	槐荫	98	1800
788	历下	20	1500
789	市中	20	750
790	市中	20	700
791	市中	20	800
792	历下	108	3000
793	历下	10	400
794	天桥	44	1600
795	市中	80	1600
796	槐荫	45	1000
797	市中	50	1500
798	历下	62	1600
799	历下	70	900
800	长清	70	1200
801	高新	93	2700
802	历下	50	1800
803	市中	26	820
804	历下	25	850
805	槐荫	60	2300
806	历城	120	2600
807	槐荫	60	2100
808	天桥	50	1800
809	历下	70	2000
810	历下	40	2200
811	天桥	50	1400
812	历城	40	800
813	天桥	30	580
814	天桥	30	650
815	高新	25	1100
816	高新	17	900
817	市中	50	1600
818	槐荫	93	1600
819	历城	42	800
820	槐荫	103	2000
821	市中	20	650
822	槐荫	86	1800
823	槐荫	132	4000
824	槐荫	110	1800
825	槐荫	85	2000
826	历下	10	1000
827	市中	74	2200
828	历下	78	2400
829	市中	77	1600
830	天桥	135	2500
831	历下	30	1000
832	市中	17	550
833	历城	113	2100
834	天桥	142	2200
835	高新	20	850
836	历下	65	1700
837	高新	20	600
838	市中	83	1700
839	天桥	40	1400
840	天桥	23	1100
841	历下	62	2300
842	高新	41	700
843	天桥	38	700
844	市中	85	2200
845	天桥	60	2100
846	市中	45	1400
847	天桥	26	600
848	天桥	20	600
849	长清	122	1200
850	章丘	83	1400
851	天桥	66	1400
852	市中	75	1900
853	历下	60	1500
854	历下	50	1600
855	天桥	20	600
856	历城	97	1500
857	槐荫	56	2500
858	槐荫	141	3800
859	天桥	30	650
860	历城	150	7500
861	高新	17	600
862	天桥	50	1400
863	槐荫	30	1200
864	槐荫	120	1500
865	槐荫	58	1700
866	历下	100	3300
867	历下	30	1500
868	历下	30	1500
869	历下	30	1600
870	槐荫	98	2800
871	历城	18	400
872	历城	150	7500
873	高新	17	600
874	天桥	44	1400
875	天桥	45	1000
876	历下	142	5000
877	历城	80	2000
878	历城	15	800
879	槐荫	93	3400
880	槐荫	84	3000
881	槐荫	100	1800
882	市中	43	1200
883	历城	48	1100
884	市中	70	1800
885	历城	60	1200
886	槐荫	65	2000
887	天桥	40	1100
888	章丘	105	1300
889	历下	140	6300
890	历城	83	2000
891	历城	25	900
892	历城	20	700
893	历下	125	3200
894	天桥	20	450
895	槐荫	65	2000
896	历城	25	650
897	天桥	44	1500
898	天桥	32	700
899	天桥	60	550
900	槐荫	90	2000
901	槐荫	135	3500
902	高新	20	700
903	槐荫	88	2000
904	槐荫	54	1300
905	市中	85	2000
906	槐荫	123	2000
907	市中	76	2500
908	市中	21	700
909	历城	50	2000
910	槐荫	135	4000
911	天桥	25	600
912	天桥	60	2100
913	市中	15	950
914	天桥	46	1300
915	高新	120	3500
916	槐荫	59	2000
917	槐荫	109	3000
918	槐荫	96	2500
919	历城	47	700
920	历下	30	1600
921	槐荫	67	1600
922	历下	62	2200
923	历下	60	2300
924	市中	80	2500
925	历下	75	2300
926	槐荫	127	2000
927	槐荫	90	2300
928	天桥	25	600
929	天桥	60	2100
930	高新	120	3500
931	槐荫	59	2000
932	槐荫	109	3000
933	槐荫	96	2500
934	历城	25	800
935	高新	42	700
936	高新	97	2500
937	高新	15	750
938	天桥	1500	1600
939	天桥	91	2400
940	历下	55	1500
941	天桥	138	3000
942	历城	25	800
943	历下	60	2200
944	历城	70	2000
945	市中	160	2600
946	槐荫	110	1600
947	槐荫	86	1800
948	槐荫	94	2000
949	天桥	45	1500
950	槐荫	38	850
951	市中	26	750
952	历下	30	1300
953	天桥	50	1300
954	天桥	26	650
955	市中	20	650
956	长清	70	1100
957	天桥	36	1300
958	槐荫	58	2500
959	槐荫	110	3000
960	历城	150	2600
961	章丘	25	500
962	槐荫	183	5700
963	槐荫	120	2000
964	市中	750	750
965	历下	30	1500
966	历下	20	1200
967	高新	15	750
968	高新	25	1100
969	槐荫	96	2200
970	槐荫	50	1500
971	高新	133	3499
972	天桥	60	2200
973	槐荫	91	2000
974	槐荫	120	2800
975	天桥	50	1000
976	历下	180	4300
977	历城	69	1200
978	槐荫	90	2300
979	槐荫	76	2000
980	历下	85	2600
981	历下	30	1700
982	市中	90	3400
983	历下	97	3100
984	历下	93	3800
985	天桥	32	700
986	历下	180	4300
987	历城	69	1200
988	天桥	97	1600
989	历下	95	1800
990	天桥	98	2000
991	槐荫	108	2000
992	历下	35	1300
993	天桥	110	900
994	天桥	20	800
995	天桥	70	1700
996	历下	200	6500
997	市中	60	1700
998	天桥	26	550
999	高新	83	2600
1000	天桥	63	1500
1001	章丘	25	500
